Unnamed: 0,game_id,game_title,month,peak_users,picture_url
691252,252950,Rocket League,2018-09-01,75882,https://steamcdn-a.akamaihd.net/steam/apps/252950/logo.png
627944,238960,Path of Exile,2018-09-01,75484,https://steamcdn-a.akamaihd.net/steam/apps/238960/logo.png
693049,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-08-01,1260894,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691851,570,Dota 2,2018-08-01,829281,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673310,730,Counter-Strike: Global Offensive,2018-08-01,454370,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
524170,582010,MONSTER HUNTER: WORLD,2018-08-01,329333,https://steamcdn-a.akamaihd.net/steam/apps/582010/logo.png
627287,304390,For Honor,2018-08-01,216499,https://steamcdn-a.akamaihd.net/steam/apps/304390/logo.png
687293,359550,Tom Clancy's Rainbow Six Siege,2018-08-01,134159,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
663295,271590,Grand Theft Auto V,2018-08-01,123556,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
632116,222880,Insurgency,2018-08-01,121264,https://steamcdn-a.akamaihd.net/steam/apps/222880/logo.png
632437,230410,Warframe,2018-08-01,107100,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
638685,275850,No Man's Sky,2018-08-01,83156,https://steamcdn-a.akamaihd.net/steam/apps/275850/logo.png
693050,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-07-01,1350463,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691852,570,Dota 2,2018-07-01,701582,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673311,730,Counter-Strike: Global Offensive,2018-07-01,426008,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
663296,271590,Grand Theft Auto V,2018-07-01,162021,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
681772,365450,Hacknet,2018-07-01,127640,https://steamcdn-a.akamaihd.net/steam/apps/365450/logo.png
632438,230410,Warframe,2018-07-01,118191,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
687294,359550,Tom Clancy's Rainbow Six Siege,2018-07-01,116054,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
